Prod_name,Prod_price,Prod_link,Prod_rate,Prod_review
Medium 25 L Backpack DAYPACK Bags Backpack for daily us...,279,https://www.flipkart.com/zcraft-daypack-bags-backpack-daily-use-library-office-outdoor-hiking-25-l/p/itme85ed9dd77fbf?pid=BKPGNGGZ3FCRSBAB&lid=LSTBKPGNGGZ3FCRSBABW1ARSV&marketplace=FLIPKART&q=bags&store=reh%2F4d7&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=en_SgyDTHwpAdSqcltSp1vZRf612AM1OEfFOcNdmgCPdRZTQIc1vZJ38myrfG-41j-1aXtAEQQHc88KbOCHKKWeIQ%3D%3D&ppt=hp&ppn=homepage&ssid=ncuw9ar4xc0000001690536062170&qH=404e218d27fee49e,3.7,31
Medium 25 L Backpack SMALL 25 L DAYPACK BAGPACK FOR DAI...,349,https://www.flipkart.com/plexy-small-25-l-daypack-bagpack-daily-routine-backpack/p/itm786efb9d2ee36?pid=BKPGHSBZEXWZGHW7&lid=LSTBKPGHSBZEXWZGHW7NC7OUL&marketplace=FLIPKART&q=bags&store=reh%2F4d7&srno=s_1_2&otracker=search&otracker1=search&fm=organic&iid=en_SgyDTHwpAdSqcltSp1vZRf612AM1OEfFOcNdmgCPdRYCe280Vh90cuEsbI7D8tn4hI-rFdWoZxE77ghuRN0ORA%3D%3D&ppt=hp&ppn=homepage&ssid=ncuw9ar4xc0000001690536062170&qH=404e218d27fee49e,3.6,140
Medium 26 L Backpack Jacquard Camo,895,https://www.flipkart.com/gear-jacquard-camo-26-l-backpack/p/itm5faf9e50cf7e2?pid=BKPFVHFVCH6ADMJM&lid=LSTBKPFVHFVCH6ADMJMZROVBP&marketplace=FLIPKART&q=bags&store=reh%2F4d7&srno=s_1_3&otracker=search&otracker1=search&fm=organic&iid=fa00b72b-e2ad-4cd5-81d6-07c32294e6c8.BKPFVHFVCH6ADMJM.SEARCH&ppt=hp&ppn=homepage&ssid=ncuw9ar4xc0000001690536062170&qH=404e218d27fee49e,4.3,253
Medium 28 L Backpack Polo,778,https://www.flipkart.com/pazzo-polo-28-l-backpack/p/itmf3um3vfkcvhaz?pid=BKPEZDYYWSY8GSRE&lid=LSTBKPEZDYYWSY8GSREEUXQLR&marketplace=FLIPKART&q=bags&store=reh%2F4d7&srno=s_1_4&otracker=search&otracker1=search&fm=organic&iid=fa00b72b-e2ad-4cd5-81d6-07c32294e6c8.BKPEZDYYWSY8GSRE.SEARCH&ppt=hp&ppn=homepage&ssid=ncuw9ar4xc0000001690536062170&qH=404e218d27fee49e,4.1,573
Large 37 L Backpack Heritage - 3 Compartment Casual Tra...,737,https://www.flipkart.com/lunar-heritage-3-compartment-casual-travel-bagpack-college-school-bag-37-l-backpack/p/itm7af5ef5887322?pid=BKPFTBU7D8ZKGGUY&lid=LSTBKPFTBU7D8ZKGGUYAC6CXC&marketplace=FLIPKART&q=bags&store=reh%2F4d7&srno=s_1_5&otracker=search&otracker1=search&fm=organic&iid=fa00b72b-e2ad-4cd5-81d6-07c32294e6c8.BKPFTBU7D8ZKGGUY.SEARCH&ppt=hp&ppn=homepage&ssid=ncuw9ar4xc0000001690536062170&qH=404e218d27fee49e,4.1,199
Medium 25 L Laptop Backpack Terror Black bag,449,https://www.flipkart.com/flyscape-terror-black-bag-25-l-backpack/p/itme1d476f73455f?pid=BKPGHETFAGEKFH4K&lid=LSTBKPGHETFAGEKFH4KZ1UFD4&marketplace=FLIPKART&q=bags&store=reh%2F4d7&srno=s_1_6&otracker=search&otracker1=search&fm=organic&iid=fa00b72b-e2ad-4cd5-81d6-07c32294e6c8.BKPGHETFAGEKFH4K.SEARCH&ppt=hp&ppn=homepage&ssid=ncuw9ar4xc0000001690536062170&qH=404e218d27fee49e,4,31
Large 38 L Laptop Backpack Large Historage backpack Tra...,799,https://www.flipkart.com/roadster-large-historage-backpack-travel-office-school-38-l/p/itm663123703c7d6?pid=BKPGFN4PTZ7EADFW&lid=LSTBKPGFN4PTZ7EADFWVZQZSX&marketplace=FLIPKART&q=bags&store=reh%2F4d7&srno=s_1_7&otracker=search&otracker1=search&fm=organic&iid=fa00b72b-e2ad-4cd5-81d6-07c32294e6c8.BKPGFN4PTZ7EADFW.SEARCH&ppt=hp&ppn=homepage&ssid=ncuw9ar4xc0000001690536062170&qH=404e218d27fee49e,4.1,298
Medium 25 L Backpack SMALL 25 L DAYPACK BAGPACK FOR DAI...,351,https://www.flipkart.com/plexy-small-25-l-daypack-bagpack-daily-routine-backpack/p/itm047eb5d9b4b03?pid=BKPGHSBZBHWFJZHZ&lid=LSTBKPGHSBZBHWFJZHZCXTHOV&marketplace=FLIPKART&q=bags&store=reh%2F4d7&srno=s_1_8&otracker=search&otracker1=search&fm=organic&iid=en_SgyDTHwpAdSqcltSp1vZRf612AM1OEfFOcNdmgCPdRat8cpNyqmha8-EP6tWZNvemA7iImAqyYxj5CGTnLkK0g%3D%3D&ppt=hp&ppn=homepage&ssid=ncuw9ar4xc0000001690536062170&qH=404e218d27fee49e,3.6,140
Large 35 L Backpack V Line - 3 Compartment College | Sc...,737,https://www.flipkart.com/lunar-v-line-3-compartment-college-school-bag-35-l-backpack/p/itmb5e40547209ac?pid=BKPFTH6DEGZZXHNK&lid=LSTBKPFTH6DEGZZXHNKPKRGBR&marketplace=FLIPKART&q=bags&store=reh%2F4d7&srno=s_1_9&otracker=search&otracker1=search&fm=organic&iid=fa00b72b-e2ad-4cd5-81d6-07c32294e6c8.BKPFTH6DEGZZXHNK.SEARCH&ppt=hp&ppn=homepage&ssid=ncuw9ar4xc0000001690536062170&qH=404e218d27fee49e,4.2,623
Small 20 L Backpack Overnighter Premium Backpack,1049,https://www.flipkart.com/hp-overnighter-premium-backpack-20-l/p/itmcb561223067b1?pid=BKPGJYEXXRTJ8KTZ&lid=LSTBKPGJYEXXRTJ8KTZFZ7ONE&marketplace=FLIPKART&q=bags&store=reh%2F4d7&srno=s_1_10&otracker=search&otracker1=search&fm=organic&iid=fa00b72b-e2ad-4cd5-81d6-07c32294e6c8.BKPGJYEXXRTJ8KTZ.SEARCH&ppt=hp&ppn=homepage&ssid=ncuw9ar4xc0000001690536062170&qH=404e218d27fee49e,4.5,15
